== Individual Errors

|==== PREDICTIONS (N=224.0) =====>
|   88 [ 0 1 0 0 ] [ 0.000 0.955 0.036 0.010 ]
|   89 [ 1 0 0 0 ] [ 0.000 0.045 0.036 0.010 ]
|   90 [ 0 0 1 0 ] [ 0.000 0.045 0.889 0.010 ]
|   91 [ 0 0 1 0 ] [ 0.000 0.045 1.000 0.010 ]
|   92 [ 0 0 1 0 ] [ 0.000 0.045 0.036 0.010 ]
|   93 [ 0 0 1 0 ] [ 0.000 0.034 1.000 0.010 ]
|   94 [ 1 0 1 0 ] [ 1.000 0.034 1.000 0.010 ]
|   95 [ 1 0 0 0 ] [ 1.000 0.333 1.000 0.010 ]
|   96 [ 1 0 0 0 ] [ 1.000 0.034 0.116 0.010 ]
|   97 [ 1 1 1 0 ] [ 1.000 0.034 1.000 0.010 ]
|   98 [ 1 0 0 0 ] [ 0.000 0.034 0.000 0.010 ]
|   99 [ 1 0 0 0 ] [ 1.000 0.034 0.116 0.010 ]
|  100 [ 1 0 1 0 ] [ 0.970 0.034 1.000 0.010 ]
|  101 [ 0 0 1 0 ] [ 1.000 0.034 1.000 0.010 ]
|  102 [ 1 0 1 0 ] [ 0.200 0.034 0.923 0.010 ]
|  103 [ 0 0 1 0 ] [ 0.000 0.034 1.000 0.010 ]
|  104 [ 0 0 1 0 ] [ 1.000 0.034 1.000 0.010 ]
|  105 [ 0 0 1 0 ] [ 0.000 0.034 0.116 0.010 ]
|  106 [ 1 0 1 0 ] [ 0.970 0.034 0.000 0.010 ]
|  107 [ 1 0 0 0 ] [ 0.000 0.034 0.923 0.010 ]
|  108 [ 1 1 0 0 ] [ 0.000 1.000 0.000 0.010 ]
|  109 [ 0 0 1 0 ] [ 0.000 0.034 1.000 0.010 ]
|  110 [ 0 0 1 0 ] [ 0.970 0.034 0.116 0.010 ]
|  111 [ 0 0 1 0 ] [ 0.970 0.034 0.923 0.010 ]
|  112 [ 0 0 1 0 ] [ 1.000 0.034 0.116 0.010 ]
|  113 [ 1 1 0 0 ] [ 0.970 0.034 0.000 0.010 ]
|  114 [ 0 1 1 0 ] [ 1.000 0.333 0.833 0.010 ]
|  115 [ 0 0 1 0 ] [ 0.000 0.040 0.909 0.005 ]
|  116 [ 1 0 0 0 ] [ 1.000 0.040 0.000 0.005 ]
|  117 [ 1 0 0 0 ] [ 0.923 0.040 0.909 0.005 ]
|  118 [ 1 0 0 0 ] [ 1.000 1.000 0.056 0.005 ]
|  119 [ 0 0 1 0 ] [ 0.923 0.040 0.000 0.005 ]
|  120 [ 0 1 0 0 ] [ 0.083 1.000 1.000 0.005 ]
|  121 [ 1 0 1 0 ] [ 0.923 0.040 0.889 0.005 ]
|  122 [ 1 0 0 0 ] [ 1.000 0.040 1.000 0.005 ]
|  123 [ 0 0 1 0 ] [ 0.083 0.040 0.889 0.005 ]
|  124 [ 0 1 0 0 ] [ 0.923 0.040 0.000 0.005 ]
|  125 [ 0 0 1 0 ] [ 0.000 0.040 0.000 0.005 ]
|  126 [ 0 0 1 0 ] [ 0.000 0.040 1.000 0.005 ]
|  127 [ 1 0 0 0 ] [ 0.000 0.040 0.909 0.005 ]
|  128 [ 1 0 0 0 ] [ 1.000 0.040 0.000 0.005 ]
|  129 [ 0 0 1 0 ] [ 1.000 0.040 0.909 0.005 ]
|  130 [ 1 0 0 0 ] [ 0.900 0.040 0.000 0.005 ]
|  131 [ 1 0 0 0 ] [ 0.000 0.040 0.000 0.005 ]
|  132 [ 0 0 1 0 ] [ 0.000 0.040 1.000 0.005 ]
|  133 [ 0 0 1 0 ] [ 0.000 0.040 1.000 0.005 ]
|  134 [ 1 0 1 0 ] [ 0.923 0.040 1.000 0.005 ]
|  135 [ 0 0 0 1 ] [ 1.000 0.040 0.000 0.005 ]
|  136 [ 1 0 0 0 ] [ 0.000 0.040 0.909 0.005 ]
|  137 [ 0 0 1 0 ] [ 1.000 0.046 0.909 0.005 ]
|  138 [ 0 0 1 1 ] [ 0.000 0.046 0.092 0.005 ]
|  139 [ 1 0 0 0 ] [ 0.000 0.046 0.125 0.005 ]
|  140 [ 0 0 1 0 ] [ 0.875 0.046 0.092 0.005 ]
|  141 [ 1 0 0 0 ] [ 0.857 0.046 0.092 0.005 ]
|  142 [ 1 0 1 0 ] [ 0.000 0.046 0.909 0.005 ]
|  143 [ 0 0 1 0 ] [ 1.000 0.046 0.909 0.005 ]
|  144 [ 1 0 1 0 ] [ 1.000 0.046 0.967 0.005 ]
|  145 [ 0 0 1 0 ] [ 0.000 0.046 0.909 0.005 ]
|  146 [ 0 0 1 0 ] [ 1.000 0.046 0.967 0.005 ]
|  147 [ 1 0 0 0 ] [ 0.000 0.046 0.092 0.005 ]
|  148 [ 1 0 0 0 ] [ 0.889 0.046 0.909 0.005 ]
|  149 [ 1 0 0 0 ] [ 1.000 1.000 0.092 0.005 ]
|  150 [ 0 0 1 0 ] [ 0.000 0.046 0.909 0.005 ]
|  151 [ 1 0 0 0 ] [ 0.889 0.046 0.875 0.005 ]
|  152 [ 1 0 0 0 ] [ 0.000 0.046 0.909 0.005 ]
|  153 [ 0 0 1 0 ] [ 1.000 0.046 0.909 0.005 ]
|  154 [ 0 0 1 0 ] [ 0.000 0.046 0.092 0.005 ]
|  155 [ 0 0 1 0 ] [ 0.000 0.046 0.092 0.005 ]
|  156 [ 1 0 0 0 ] [ 1.000 0.046 0.967 0.005 ]
|  157 [ 0 0 1 0 ] [ 1.000 0.046 0.909 0.005 ]
|  158 [ 1 0 0 0 ] [ 0.857 0.046 0.125 0.005 ]
|  159 [ 0 0 1 0 ] [ 0.000 0.040 0.108 0.010 ]
|  160 [ 0 0 1 0 ] [ 0.000 0.040 0.108 0.010 ]
|  161 [ 1 0 0 0 ] [ 1.000 0.040 0.108 0.010 ]
|  162 [ 0 0 1 0 ] [ 0.000 0.040 0.108 0.010 ]
|  163 [ 0 1 0 0 ] [ 0.900 0.040 0.108 0.010 ]
|  164 [ 1 0 0 0 ] [ 0.909 0.040 0.941 0.010 ]
|  165 [ 0 0 1 0 ] [ 0.000 0.040 1.000 0.010 ]
|  166 [ 0 0 1 0 ] [ 0.818 0.040 1.000 0.010 ]
|  167 [ 1 0 0 0 ] [ 1.000 0.040 0.108 0.010 ]
|  168 [ 1 0 0 0 ] [ 0.857 0.040 0.108 0.010 ]
|  169 [ 1 0 0 0 ] [ 0.900 0.040 0.108 0.010 ]
|  170 [ 0 0 1 0 ] [ 1.000 0.040 1.000 0.010 ]
|  171 [ 1 0 0 0 ] [ 0.000 0.040 0.108 0.010 ]
|  172 [ 0 1 1 0 ] [ 1.000 0.962 0.941 0.010 ]
|  173 [ 1 0 0 0 ] [ 1.000 0.040 0.108 0.010 ]
|  174 [ 0 0 1 0 ] [ 1.000 0.040 0.108 0.010 ]
|  175 [ 1 0 1 0 ] [ 1.000 0.040 0.108 0.010 ]
|  176 [ 1 0 0 0 ] [ 1.000 0.040 0.875 0.010 ]
|  177 [ 1 0 0 0 ] [ 1.000 0.040 0.108 0.010 ]
|  178 [ 0 0 1 0 ] [ 0.818 0.040 0.875 0.010 ]
|  179 [ 1 0 0 0 ] [ 1.000 0.040 0.108 0.010 ]
|  180 [ 1 0 0 0 ] [ 1.000 0.040 0.108 0.010 ]
|  181 [ 1 0 0 0 ] [ 1.000 0.046 1.000 0.010 ]
|  182 [ 1 0 0 0 ] [ 1.000 0.046 0.000 0.010 ]
|  183 [ 0 0 1 0 ] [ 0.000 0.046 0.966 0.010 ]
|  184 [ 0 0 1 0 ] [ 0.929 0.046 0.088 0.010 ]
|  185 [ 1 0 0 0 ] [ 1.000 0.046 1.000 0.010 ]
|  186 [ 0 0 1 0 ] [ 0.000 0.046 0.966 0.010 ]
|  187 [ 1 0 0 0 ] [ 0.667 0.046 1.000 0.010 ]
|  188 [ 1 0 0 0 ] [ 1.000 0.046 0.088 0.010 ]
|  189 [ 0 0 1 0 ] [ 0.000 0.046 0.933 0.010 ]
|  190 [ 0 0 1 0 ] [ 1.000 0.046 1.000 0.010 ]
|  191 [ 1 0 1 0 ] [ 0.000 0.046 0.933 0.010 ]
|  192 [ 1 0 0 0 ] [ 0.909 0.046 0.933 0.010 ]
|  193 [ 0 0 1 0 ] [ 0.000 0.046 0.966 0.010 ]
|  194 [ 1 0 0 0 ] [ 0.909 0.046 0.088 0.010 ]
|  195 [ 1 0 0 0 ] [ 1.000 0.046 0.966 0.010 ]
|  196 [ 1 0 0 0 ] [ 1.000 0.046 0.088 0.010 ]
|  197 [ 0 0 1 0 ] [ 0.000 0.046 1.000 0.010 ]
|  198 [ 1 0 0 0 ] [ 1.000 0.046 0.088 0.010 ]
|  199 [ 1 0 1 0 ] [ 0.000 0.046 0.933 0.010 ]
|  200 [ 0 0 1 0 ] [ 0.929 0.046 1.000 0.010 ]
|  201 [ 1 0 0 0 ] [ 1.000 0.046 1.000 0.010 ]
|  202 [ 1 0 0 0 ] [ 0.909 0.046 0.088 0.010 ]
|  203 [ 0 0 1 0 ] [ 0.000 0.046 1.000 0.010 ]
|  204 [ 1 0 0 0 ] [ 0.000 0.046 0.045 0.010 ]
|  205 [ 1 0 1 0 ] [ 0.000 0.046 1.000 0.010 ]
|  206 [ 0 0 1 0 ] [ 0.091 0.046 0.333 0.010 ]
|  207 [ 0 0 1 0 ] [ 0.000 0.046 0.045 0.010 ]
|  208 [ 1 0 0 0 ] [ 0.000 0.046 0.045 0.010 ]
|  209 [ 1 0 0 0 ] [ 1.000 0.046 0.045 0.010 ]
|  210 [ 1 0 0 0 ] [ 1.000 0.046 0.000 0.010 ]
|  211 [ 1 0 0 0 ] [ 1.000 0.046 0.909 0.010 ]
|  212 [ 1 0 0 0 ] [ 1.000 0.046 0.833 0.010 ]
|  213 [ 1 0 0 0 ] [ 1.000 0.046 0.000 0.010 ]
|  214 [ 0 0 1 0 ] [ 1.000 0.046 1.000 0.010 ]
|  215 [ 1 0 0 0 ] [ 1.000 0.046 0.045 0.010 ]
|  216 [ 1 0 0 0 ] [ 1.000 0.046 0.045 0.010 ]
|  217 [ 1 0 0 0 ] [ 1.000 0.046 0.045 0.010 ]
|  218 [ 0 0 1 0 ] [ 0.000 0.046 1.000 0.010 ]
|  219 [ 1 0 0 0 ] [ 0.000 0.046 0.045 0.010 ]
|  220 [ 0 0 1 0 ] [ 0.333 0.046 1.000 0.010 ]
|  221 [ 1 0 0 0 ] [ 1.000 0.046 0.045 0.010 ]
|  222 [ 0 0 1 0 ] [ 0.000 0.046 0.909 0.010 ]
|  223 [ 1 0 0 0 ] [ 0.000 0.046 0.909 0.010 ]
|  224 [ 1 0 0 0 ] [ 1.000 0.046 0.045 0.010 ]
|==============================<


== Evaluation Info

Classifier                     meka.classifiers.multilabel.BR
Options                        [-W, weka.classifiers.trees.J48, --, -C, 0.25, -M, 2]
Additional Info                
Dataset                        Group-weka.filters.unsupervised.attribute.StringToWordVector-R5-W1000-prune-rate-1.0-N0-L-stemmerweka.core.stemmers.SnowballStemmer -S porter-stopwords-handlerweka.core.stopwords.Null-M1-O-tokenizerweka.core.tokenizers.NGramTokenizer -max 3 -min 1 -delimiters \W
Number of labels (L)           4
Type                           ML-CV
Threshold                      0.5
Verbosity                      8


== Predictive Performance

Number of test instances (N)   
Accuracy                       0.584
Jaccard index                  0.584
Hamming score                  0.83 
Exact match                    0.424
Jaccard distance               0.416
Hamming loss                   0.17 
ZeroOne loss                   0.576
Harmonic score                 0.665
One error                      0.344
Rank loss                      0.235
Avg precision                  0.5  
Log Loss (lim. L)              0.261
Log Loss (lim. D)              0.725
Micro Precision                0.705
Micro Recall                   0.699
Macro Precision                0.572
Macro Recall                   0.534
F1 (micro averaged)            0.702
F1 (macro averaged by example) 0.636
F1 (macro averaged by label)   0.55 
AUPRC (macro averaged)         0.513
AUROC (macro averaged)         0.573
Curve Data                     
Macro Curve Data               
Micro Curve Data               
Label indices                  [     0     1     2     3 ]
Accuracy (per label)           [ 0.643 0.951 0.737 0.991 ]
Harmonic (per label)           [ 0.633 0.844 0.732 0.000 ]
Precision (per label)          [ 0.656 0.926 0.707 0.000 ]
Recall (per label)             [ 0.700 0.735 0.700 0.000 ]
Empty labelvectors (predicted) 0.179
Label cardinality (predicted)  1.134
Levenshtein distance           0.17 
Label cardinality (difference) 0.009
avg. relevance (test set)      [ 0.536 0.152 0.446 0.009 ]
avg. relevance (predicted)     [ 0.571 0.121 0.442 0.000 ]
avg. relevance (difference)    [ -0.036 0.031 0.004 0.009 ]


== Additional Measurements (averaged across folds)

Number of training instances   224
Number of test instances       224
Label cardinality (train set)  1.143
Label cardinality (test set)   1.143
Build Time                     1.395
Test Time                      0.001
Total Time                     1.396



