== Individual Errors

|==== PREDICTIONS (N=224.0) =====>
|   38 [ 1 0 0 0 0 0 0 0 0 ] [ 0.962 0.007 0.000 0.007 0.068 0.000 0.000 0.010 0.000 ]
|   39 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.889 0.000 0.000 0.010 0.000 ]
|   40 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.966 0.000 0.000 0.010 0.000 ]
|   41 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 1.000 0.000 0.000 0.010 0.000 ]
|   42 [ 0 0 0 1 0 0 0 0 0 ] [ 0.833 0.007 0.000 0.955 0.889 0.000 0.000 0.010 0.000 ]
|   43 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.966 0.000 0.000 0.010 0.000 ]
|   44 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.966 0.000 0.000 0.010 0.000 ]
|   45 [ 0 0 0 1 0 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.068 0.000 0.000 0.010 0.000 ]
|   46 [ 0 0 0 0 0 1 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.333 0.000 0.000 0.010 0.000 ]
|   47 [ 0 0 0 0 1 0 0 0 0 ] [ 0.143 0.006 0.000 0.028 0.091 1.000 0.000 0.010 0.000 ]
|   48 [ 0 0 0 1 0 1 0 0 0 ] [ 0.905 0.000 0.000 0.950 1.000 1.000 0.000 0.010 0.000 ]
|   49 [ 0 0 0 0 1 0 0 0 0 ] [ 0.143 0.006 0.000 0.028 0.091 0.026 0.000 0.010 0.000 ]
|   50 [ 1 0 0 0 0 0 0 0 0 ] [ 0.143 0.006 0.000 0.028 0.059 0.000 0.000 0.010 0.000 ]
|   51 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.028 0.000 0.200 0.000 0.010 0.000 ]
|   52 [ 1 0 0 0 0 0 0 0 0 ] [ 0.905 0.000 0.000 0.028 0.091 1.000 0.000 0.010 0.000 ]
|   53 [ 0 0 0 1 1 0 0 0 0 ] [ 0.143 0.006 0.000 0.950 0.000 0.026 0.000 0.010 0.000 ]
|   54 [ 0 0 0 1 0 0 0 0 0 ] [ 0.143 0.006 0.000 0.950 0.000 0.026 0.000 0.010 0.000 ]
|   55 [ 1 1 0 0 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.028 0.091 0.000 0.000 0.010 0.000 ]
|   56 [ 0 1 0 1 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.028 0.091 0.000 0.000 0.010 0.000 ]
|   57 [ 1 0 0 1 0 0 0 0 0 ] [ 0.143 0.006 0.000 0.950 0.000 0.026 0.000 0.010 0.000 ]
|   58 [ 1 0 0 0 0 0 0 0 0 ] [ 0.143 0.006 0.000 0.028 0.000 0.250 0.000 0.010 0.000 ]
|   59 [ 0 0 0 1 1 0 0 0 0 ] [ 0.143 0.000 0.000 0.950 0.969 0.143 0.000 0.010 0.000 ]
|   60 [ 1 0 0 0 0 0 0 0 0 ] [ 0.143 0.006 0.000 0.028 0.000 0.000 0.000 0.010 0.000 ]
|   61 [ 0 0 0 1 1 0 0 0 0 ] [ 0.143 0.006 0.000 0.950 0.059 1.000 0.000 0.010 0.000 ]
|   62 [ 0 0 0 1 0 0 0 0 0 ] [ 0.143 0.006 0.000 0.028 1.000 0.026 0.000 0.010 0.000 ]
|   63 [ 0 0 0 0 1 1 0 0 0 ] [ 0.143 0.006 0.000 0.028 1.000 0.026 0.000 0.010 0.000 ]
|   64 [ 0 0 0 1 0 0 0 0 0 ] [ 0.143 0.006 0.000 0.950 0.000 0.026 0.000 0.010 0.000 ]
|   65 [ 1 0 0 0 0 0 0 0 0 ] [ 0.800 0.000 0.000 0.028 0.091 0.000 0.000 0.010 0.000 ]
|   66 [ 1 0 0 0 0 0 0 0 0 ] [ 0.905 0.006 0.000 0.028 0.000 0.026 0.000 0.010 0.000 ]
|   67 [ 1 1 0 1 0 0 0 0 0 ] [ 0.143 0.006 0.000 0.028 1.000 0.026 0.000 0.010 0.000 ]
|   68 [ 0 0 0 0 1 1 0 0 0 ] [ 0.143 0.006 0.000 0.028 0.000 0.026 0.000 0.010 0.000 ]
|   69 [ 0 0 0 0 1 0 0 0 0 ] [ 0.143 0.006 0.000 0.028 0.969 0.026 0.000 0.010 0.000 ]
|   70 [ 0 0 0 0 0 1 0 0 0 ] [ 0.120 0.000 0.000 0.045 0.056 0.031 0.000 0.010 0.000 ]
|   71 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.045 0.857 1.000 0.000 0.010 0.000 ]
|   72 [ 0 0 0 1 0 0 0 0 0 ] [ 0.120 0.000 0.000 0.955 0.056 0.000 0.000 0.010 0.000 ]
|   73 [ 0 0 0 1 0 1 0 0 0 ] [ 0.120 0.000 0.000 0.955 1.000 0.000 0.000 0.010 0.000 ]
|   74 [ 0 0 0 1 0 1 0 0 0 ] [ 0.120 0.000 0.000 0.955 0.056 0.000 0.000 0.010 0.000 ]
|   75 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.045 0.000 0.031 0.000 0.010 0.000 ]
|   76 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.045 0.857 0.031 0.000 0.010 0.000 ]
|   77 [ 0 1 0 0 0 0 0 0 0 ] [ 0.120 0.000 0.000 0.045 0.333 0.000 0.000 0.010 0.000 ]
|   78 [ 1 0 0 0 0 0 0 0 0 ] [ 0.750 0.100 0.000 0.045 0.056 0.000 0.000 0.010 0.000 ]
|   79 [ 0 0 0 1 0 1 0 0 0 ] [ 0.000 0.000 0.000 0.955 0.333 0.000 0.000 0.010 0.000 ]
|   80 [ 1 0 0 0 0 0 0 0 0 ] [ 0.667 0.000 0.000 0.045 0.000 0.031 0.000 0.010 0.000 ]
|   81 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.045 0.000 0.000 0.000 0.010 0.000 ]
|   82 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.045 0.000 1.000 0.000 0.010 0.000 ]
|   83 [ 1 0 0 0 1 0 0 0 0 ] [ 0.000 0.100 0.000 0.045 0.056 0.000 0.000 0.010 0.000 ]
|   84 [ 1 0 0 0 0 0 0 0 0 ] [ 0.120 0.000 0.000 0.045 0.000 0.000 0.000 0.010 0.000 ]
|   85 [ 0 0 0 0 1 1 0 0 0 ] [ 1.000 0.000 0.000 0.045 0.333 0.031 0.000 0.010 0.000 ]
|   86 [ 1 0 0 0 0 0 0 0 0 ] [ 0.750 0.000 0.000 0.045 0.000 1.000 0.000 0.010 0.000 ]
|   87 [ 1 0 0 0 1 0 0 0 0 ] [ 0.120 0.100 0.000 0.045 0.000 0.000 0.000 0.010 0.000 ]
|   88 [ 0 0 0 1 0 0 0 0 0 ] [ 0.120 0.000 0.000 0.955 0.056 0.000 0.000 0.010 0.000 ]
|   89 [ 0 0 0 0 0 1 0 0 0 ] [ 0.120 0.000 0.000 0.045 0.000 0.200 0.000 0.010 0.000 ]
|   90 [ 1 0 0 0 0 0 0 0 0 ] [ 0.120 0.000 0.000 0.045 0.056 1.000 0.000 0.010 0.000 ]
|   91 [ 1 0 0 0 0 0 0 0 0 ] [ 0.750 0.000 0.000 0.045 0.000 0.000 0.000 0.010 0.000 ]
|   92 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.045 0.000 1.000 0.000 0.010 0.000 ]
|   93 [ 1 0 0 0 0 0 0 0 0 ] [ 0.962 0.006 0.000 0.034 0.000 0.139 0.000 0.010 0.000 ]
|   94 [ 1 0 0 0 0 1 0 0 0 ] [ 0.333 0.006 0.000 0.034 0.000 0.139 0.000 0.010 0.000 ]
|   95 [ 0 0 0 0 0 1 0 0 0 ] [ 0.857 0.006 0.000 0.333 1.000 0.139 0.000 0.010 0.000 ]
|   96 [ 0 0 0 0 1 1 0 0 0 ] [ 0.088 0.006 0.000 0.034 1.000 0.139 0.000 0.010 0.000 ]
|   97 [ 1 0 0 1 1 0 0 0 0 ] [ 0.857 0.006 0.000 0.034 0.028 0.139 0.000 0.010 0.000 ]
|   98 [ 0 0 0 0 1 0 0 0 0 ] [ 0.088 0.006 0.000 0.034 0.889 0.000 0.000 0.010 0.000 ]
|   99 [ 0 0 0 0 1 0 0 0 0 ] [ 0.088 0.006 0.000 0.034 1.000 0.139 0.000 0.010 0.000 ]
|  100 [ 1 0 0 0 0 1 0 0 0 ] [ 0.857 0.006 0.000 0.034 0.000 0.139 0.000 0.010 0.000 ]
|  101 [ 1 0 0 0 0 0 0 0 0 ] [ 0.857 0.006 0.000 0.034 0.000 0.139 0.000 0.010 0.000 ]
|  102 [ 1 0 0 0 1 0 0 0 0 ] [ 0.088 0.006 0.000 0.034 1.000 0.139 0.000 0.010 0.000 ]
|  103 [ 1 0 0 0 0 0 0 0 0 ] [ 0.333 0.000 0.000 0.034 0.028 0.139 0.000 0.010 0.000 ]
|  104 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.034 0.000 0.139 0.000 0.010 0.000 ]
|  105 [ 1 0 0 0 0 0 0 0 0 ] [ 0.088 0.000 0.000 0.034 0.000 0.000 0.000 0.010 0.000 ]
|  106 [ 1 1 0 0 1 0 0 0 0 ] [ 1.000 1.000 0.000 0.034 1.000 0.139 0.000 0.010 0.000 ]
|  107 [ 0 0 0 0 0 1 0 0 0 ] [ 0.088 0.006 0.000 0.034 0.028 0.139 0.000 0.010 0.000 ]
|  108 [ 0 0 0 1 0 1 0 0 0 ] [ 0.088 0.006 0.000 1.000 0.028 0.889 0.000 0.010 0.000 ]
|  109 [ 1 0 0 0 0 0 0 0 0 ] [ 0.962 0.006 0.000 0.034 0.000 1.000 0.000 0.010 0.000 ]
|  110 [ 1 0 0 0 0 0 0 0 0 ] [ 0.088 0.006 0.000 0.034 0.028 0.139 0.000 0.010 0.000 ]
|  111 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.034 0.028 0.139 0.000 0.010 0.000 ]
|  112 [ 1 0 0 0 0 0 0 0 0 ] [ 0.088 0.006 0.000 0.034 0.000 0.000 0.000 0.010 0.000 ]
|  113 [ 0 0 0 1 0 1 0 0 0 ] [ 0.088 0.006 0.000 0.034 0.000 0.000 0.000 0.010 0.000 ]
|  114 [ 0 1 0 1 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.333 0.889 0.139 0.000 0.010 0.000 ]
|  115 [ 1 0 0 0 0 0 0 0 0 ] [ 0.909 0.006 0.000 0.040 0.000 0.047 0.000 0.005 0.000 ]
|  116 [ 0 0 0 0 1 0 0 0 0 ] [ 0.083 0.667 0.000 0.040 0.875 0.047 0.000 0.005 0.000 ]
|  117 [ 0 0 0 0 0 1 0 0 0 ] [ 0.053 0.006 0.000 0.040 0.000 0.000 0.000 0.005 0.000 ]
|  118 [ 0 0 0 0 1 0 0 0 0 ] [ 0.053 0.000 0.000 1.000 0.000 0.047 0.000 0.005 0.000 ]
|  119 [ 1 0 0 0 0 0 0 0 0 ] [ 0.000 0.006 0.000 0.040 0.000 0.047 0.000 0.005 0.000 ]
|  120 [ 0 0 0 1 0 0 0 0 0 ] [ 0.053 0.006 0.000 1.000 0.000 0.000 0.000 0.005 0.000 ]
|  121 [ 0 1 0 0 1 0 0 0 0 ] [ 1.000 0.000 0.000 0.040 0.000 0.000 0.000 0.005 0.000 ]
|  122 [ 0 0 0 0 1 0 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.970 0.047 0.000 0.005 0.000 ]
|  123 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.040 0.000 0.333 0.000 0.005 0.000 ]
|  124 [ 0 0 0 1 0 0 0 0 0 ] [ 0.053 0.006 0.000 0.040 1.000 0.047 0.000 0.005 0.000 ]
|  125 [ 1 0 0 0 0 0 0 0 0 ] [ 0.857 0.000 0.000 0.040 0.000 0.000 0.000 0.005 0.000 ]
|  126 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.040 0.000 1.000 0.000 0.005 0.000 ]
|  127 [ 0 0 0 0 1 1 0 0 0 ] [ 0.909 0.006 0.000 0.040 0.000 0.047 0.000 0.005 0.000 ]
|  128 [ 0 0 0 0 1 1 0 0 0 ] [ 0.053 0.006 0.000 0.040 0.875 0.000 0.000 0.005 0.000 ]
|  129 [ 1 0 0 0 0 0 0 0 0 ] [ 0.000 0.006 0.000 0.040 0.000 1.000 0.000 0.005 0.000 ]
|  130 [ 0 0 0 0 1 0 0 0 0 ] [ 0.053 0.006 0.000 0.040 1.000 0.047 0.000 0.005 0.000 ]
|  131 [ 0 0 0 0 1 1 0 0 0 ] [ 0.083 0.006 0.000 0.040 1.000 0.000 0.000 0.005 0.000 ]
|  132 [ 1 0 0 0 0 0 0 0 0 ] [ 0.958 1.000 0.000 0.040 1.000 0.000 0.000 0.005 0.000 ]
|  133 [ 1 0 0 0 0 0 0 0 0 ] [ 0.958 0.006 0.000 0.040 0.000 0.047 0.000 0.005 0.000 ]
|  134 [ 1 0 0 0 0 1 0 0 0 ] [ 0.958 0.006 0.000 0.040 0.000 0.000 0.000 0.005 0.000 ]
|  135 [ 0 0 0 0 0 0 0 1 0 ] [ 0.053 0.006 0.000 0.040 0.000 0.047 0.000 0.005 0.000 ]
|  136 [ 0 0 0 0 0 1 0 0 0 ] [ 0.909 0.006 0.000 0.040 0.000 0.047 0.000 0.005 0.000 ]
|  137 [ 1 1 0 0 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.046 0.000 0.000 0.000 0.005 0.000 ]
|  138 [ 1 0 0 0 0 0 0 1 0 ] [ 0.088 0.000 0.000 0.046 0.000 0.095 0.000 0.005 0.000 ]
|  139 [ 0 0 0 0 0 1 0 0 0 ] [ 0.088 0.000 0.000 0.046 1.000 0.095 0.000 0.005 0.000 ]
|  140 [ 1 0 0 0 0 0 0 0 0 ] [ 0.088 0.000 0.000 0.046 0.900 0.095 0.000 0.005 0.000 ]
|  141 [ 0 0 0 0 1 1 0 0 0 ] [ 0.088 0.000 0.000 0.046 1.000 1.000 0.000 0.005 0.000 ]
|  142 [ 1 0 0 0 0 1 0 0 0 ] [ 0.000 1.000 0.000 0.046 0.600 0.000 0.000 0.005 0.000 ]
|  143 [ 1 1 0 0 0 0 0 0 0 ] [ 1.000 0.000 0.000 0.046 1.000 0.000 0.000 0.005 0.000 ]
|  144 [ 1 0 0 0 0 1 0 0 0 ] [ 1.000 0.000 0.000 0.046 0.000 0.095 0.000 0.005 0.000 ]
|  145 [ 0 1 0 0 0 0 0 0 0 ] [ 0.000 0.083 0.000 0.046 0.000 0.000 0.000 0.005 0.000 ]
|  146 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.083 0.000 0.046 0.923 0.000 0.000 0.005 0.000 ]
|  147 [ 0 0 0 0 1 1 0 0 0 ] [ 0.088 0.000 0.000 0.046 0.000 0.095 0.000 0.005 0.000 ]
|  148 [ 0 0 0 0 0 1 0 0 0 ] [ 1.000 0.091 0.000 0.046 0.900 0.095 0.000 0.005 0.000 ]
|  149 [ 0 0 0 0 1 0 0 0 0 ] [ 0.088 0.000 0.000 1.000 0.970 0.875 0.000 0.005 0.000 ]
|  150 [ 1 1 0 0 0 0 0 0 0 ] [ 0.900 0.000 0.000 0.046 0.000 0.095 0.000 0.005 0.000 ]
|  151 [ 0 0 0 0 0 1 0 0 0 ] [ 0.900 0.000 0.000 0.046 0.900 0.095 0.000 0.005 0.000 ]
|  152 [ 0 0 0 0 0 1 0 0 0 ] [ 0.900 0.000 0.000 0.046 0.000 0.095 0.000 0.005 0.000 ]
|  153 [ 1 1 0 0 0 0 0 0 0 ] [ 0.000 0.083 0.000 0.046 0.042 0.000 0.000 0.005 0.000 ]
|  154 [ 1 0 0 0 0 0 0 0 0 ] [ 0.088 0.000 0.000 0.046 0.000 0.000 0.000 0.005 0.000 ]
|  155 [ 1 0 0 0 0 0 0 0 0 ] [ 0.088 0.000 0.000 0.046 0.923 0.095 0.000 0.005 0.000 ]
|  156 [ 0 0 0 0 0 1 0 0 0 ] [ 1.000 0.000 0.000 0.046 0.000 0.095 0.000 0.005 0.000 ]
|  157 [ 1 1 0 0 0 0 0 0 0 ] [ 0.000 0.083 0.000 0.046 0.042 1.000 0.000 0.005 0.000 ]
|  158 [ 0 0 0 0 0 1 0 0 0 ] [ 0.088 0.000 0.000 0.046 0.000 0.095 0.000 0.005 0.000 ]
|  159 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.040 0.143 1.000 0.000 0.010 0.000 ]
|  160 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.040 0.123 0.052 0.000 0.010 0.000 ]
|  161 [ 0 0 0 0 1 1 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.964 1.000 0.000 0.010 0.000 ]
|  162 [ 0 1 0 0 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.040 0.123 0.052 0.000 0.010 0.000 ]
|  163 [ 0 0 0 1 0 0 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.889 0.000 0.000 0.010 0.000 ]
|  164 [ 0 0 0 0 1 1 0 0 0 ] [ 0.900 0.000 0.000 0.040 1.000 0.000 0.000 0.010 0.000 ]
|  165 [ 1 0 0 0 0 0 0 0 0 ] [ 0.960 0.006 0.000 0.040 0.000 1.000 0.000 0.010 0.000 ]
|  166 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.040 0.123 0.052 0.000 0.010 0.000 ]
|  167 [ 0 0 0 0 1 0 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.889 0.052 0.000 0.010 0.000 ]
|  168 [ 0 0 0 0 1 0 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.889 0.000 0.000 0.010 0.000 ]
|  169 [ 0 0 0 0 1 0 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.123 1.000 0.000 0.010 0.000 ]
|  170 [ 1 0 0 0 0 0 0 0 0 ] [ 0.960 0.006 0.000 0.040 0.123 0.000 0.000 0.010 0.000 ]
|  171 [ 0 0 0 0 1 1 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.889 0.052 0.000 0.010 0.000 ]
|  172 [ 1 0 0 1 0 0 0 0 0 ] [ 1.000 0.006 0.000 0.962 0.000 1.000 0.000 0.010 0.000 ]
|  173 [ 0 0 0 0 1 1 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.964 0.052 0.000 0.010 0.000 ]
|  174 [ 1 0 0 0 0 0 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.123 0.052 0.000 0.010 0.000 ]
|  175 [ 1 0 0 0 1 0 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.964 0.000 0.000 0.010 0.000 ]
|  176 [ 0 0 0 0 1 0 0 0 0 ] [ 0.083 0.091 0.000 0.040 0.964 0.000 0.000 0.010 0.000 ]
|  177 [ 0 0 0 0 1 0 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.123 0.000 0.000 0.010 0.000 ]
|  178 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.091 0.000 0.040 1.000 0.000 0.000 0.010 0.000 ]
|  179 [ 0 0 0 0 1 0 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.964 1.000 0.000 0.010 0.000 ]
|  180 [ 0 0 0 0 1 1 0 0 0 ] [ 0.083 0.006 0.000 0.040 0.964 1.000 0.000 0.010 0.000 ]
|  181 [ 0 0 0 0 1 1 0 0 0 ] [ 0.000 0.007 0.000 0.046 0.966 1.000 0.000 0.010 0.000 ]
|  182 [ 0 0 0 0 1 1 0 0 0 ] [ 0.875 0.007 0.000 0.046 0.966 0.068 0.000 0.010 0.000 ]
|  183 [ 1 0 0 0 0 0 0 0 0 ] [ 0.926 0.007 0.000 0.046 0.000 0.875 0.000 0.010 0.000 ]
|  184 [ 1 0 0 0 0 0 0 0 0 ] [ 0.074 0.007 0.000 0.046 0.000 1.000 0.000 0.010 0.000 ]
|  185 [ 0 0 0 0 1 0 0 0 0 ] [ 0.074 0.007 0.000 0.046 0.966 0.000 0.000 0.010 0.000 ]
|  186 [ 1 0 0 0 0 0 0 0 0 ] [ 0.926 0.007 0.000 0.046 0.000 0.068 0.000 0.010 0.000 ]
|  187 [ 0 0 0 0 1 0 0 0 0 ] [ 1.000 0.007 0.000 0.046 0.000 0.068 0.000 0.010 0.000 ]
|  188 [ 0 0 0 0 1 1 0 0 0 ] [ 0.074 0.007 0.000 0.046 0.966 0.068 0.000 0.010 0.000 ]
|  189 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.077 0.000 0.046 0.000 0.068 0.000 0.010 0.000 ]
|  190 [ 1 0 0 0 0 0 0 0 0 ] [ 0.875 0.007 0.000 0.046 0.182 0.068 0.000 0.010 0.000 ]
|  191 [ 1 0 0 0 0 1 0 0 0 ] [ 1.000 0.077 0.000 0.046 0.000 0.800 0.000 0.010 0.000 ]
|  192 [ 0 0 0 0 1 0 0 0 0 ] [ 1.000 0.007 0.000 0.046 1.000 0.068 0.000 0.010 0.000 ]
|  193 [ 1 0 0 0 0 0 0 0 0 ] [ 0.926 0.007 0.000 0.046 0.000 0.068 0.000 0.010 0.000 ]
|  194 [ 0 0 0 0 1 0 0 0 0 ] [ 0.074 0.007 0.000 0.046 1.000 0.000 0.000 0.010 0.000 ]
|  195 [ 0 0 0 0 1 0 0 0 0 ] [ 0.926 0.007 0.000 0.046 0.000 0.068 0.000 0.010 0.000 ]
|  196 [ 0 0 0 0 1 0 0 0 0 ] [ 0.074 0.007 0.000 0.046 0.182 0.068 0.000 0.010 0.000 ]
|  197 [ 0 1 0 0 0 0 0 0 0 ] [ 0.875 0.000 0.000 0.046 0.000 1.000 0.000 0.010 0.000 ]
|  198 [ 0 0 0 0 1 0 0 0 0 ] [ 0.074 0.007 0.000 0.046 0.000 0.111 0.000 0.010 0.000 ]
|  199 [ 1 0 0 0 1 1 0 0 0 ] [ 1.000 0.077 0.000 0.046 1.000 1.000 0.000 0.010 0.000 ]
|  200 [ 1 0 0 0 0 0 0 0 0 ] [ 0.800 0.007 0.000 0.046 0.000 0.068 0.000 0.010 0.000 ]
|  201 [ 0 0 0 0 1 0 0 0 0 ] [ 1.000 0.007 0.000 0.046 0.966 0.068 0.000 0.010 0.000 ]
|  202 [ 0 0 0 0 1 1 0 0 0 ] [ 0.074 0.007 0.000 0.046 0.000 0.068 0.000 0.010 0.000 ]
